issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
166,Medicaid.gov —,https://medicaid.gov/,https://www.medicaid.gov/,200,true,true,12517,true,724,51,15,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,661,3,8,42,aria-allowed-role;landmark-unique;page-has-heading-one,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),44,,Medicaid.gov: The Official U.S. Government Site for Medicaid and CHIP Services | Medicaid
166,Medicaid.gov —,https://medicaid.gov/managed-long-term-services-supports-faqs,https://www.medicaid.gov/managed-long-term-services-supports-faqs,200,true,true,9240,true,614,39,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,502,1,1,43,heading-order,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),34,,Managed Long Term Services &amp; Supports FAQs | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports,https://www.medicaid.gov/medicaid/long-term-services-supports,200,true,true,9892,true,1063,82,1,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,846,2,5,42,heading-order;landmark-unique,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),76,,Long Term Services &amp; Supports | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports/alternatives-psychiatric-residential-treatment-facilities,https://www.medicaid.gov/medicaid/long-term-services-supports/alternatives-psychiatric-residential-treatment-facilities,200,true,true,10197,true,1089,60,1,43,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,737,1,3,39,heading-order,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),55,,Alternatives to Psychiatric Residential Treatment Facilities Demonstration | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports/balancing-long-term-services-supports,https://www.medicaid.gov/medicaid/long-term-services-supports/balancing-long-term-services-supports,200,true,true,9549,true,779,44,1,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,619,1,2,43,landmark-unique,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),39,,Balancing Long Term Services &amp; Supports | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports/direct-care-workforce,https://www.medicaid.gov/medicaid/long-term-services-supports/direct-care-workforce,200,true,true,9203,true,645,44,1,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,543,2,2,44,heading-order;landmark-unique,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),37,,Direct Care Workforce | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports/health-homes,https://www.medicaid.gov/medicaid/long-term-services-supports/health-homes,200,true,true,10428,true,864,52,0,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,647,2,8,43,heading-order,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),46,,Health Homes | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports/institutional-long-term-care,https://www.medicaid.gov/medicaid/long-term-services-supports/institutional-long-term-care,200,true,true,9275,true,718,49,1,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,588,2,2,43,heading-order;landmark-unique,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),42,,Institutional Long Term Care | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports/integrating-care,https://www.medicaid.gov/medicaid/long-term-services-supports/integrating-care,200,true,true,9556,true,759,61,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,608,1,2,43,heading-order,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),56,,Integrating Care | Medicaid
166,Medicaid.gov —,https://medicaid.gov/medicaid/long-term-services-supports/medicaid-employment-initiatives,https://www.medicaid.gov/medicaid/long-term-services-supports/medicaid-employment-initiatives,200,true,true,9345,true,702,52,1,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,576,2,2,44,heading-order;landmark-unique,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),45,,Medicaid Employment Initiatives | Medicaid
