issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
66,Sweden's Government,https://government.se/,https://government.se/,403,false,false,18437,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/reports/,https://government.se/reports/,403,false,false,16691,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/government-policy/social-services/,https://government.se/government-policy/social-services/,403,false,false,17427,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/government-policy/swedens-support-to-ukraine/,https://government.se/government-policy/swedens-support-to-ukraine/,403,false,false,17434,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/articles/2026/02/four-years-of-war-support-to-ukraine-remains-governments-foremost-foreign-policy-priority/,https://government.se/articles/2026/02/four-years-of-war-support-to-ukraine-remains-governments-foremost-foreign-policy-priority/,403,false,false,17272,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/press-releases/2026/02/government-proposes-swedish-loan-guarantee-to-world-bank-to-enable-sek-2.5-billion-in-new-budget-support-to-ukraine,https://government.se/press-releases/2026/02/government-proposes-swedish-loan-guarantee-to-world-bank-to-enable-sek-2.5-billion-in-new-budget-support-to-ukraine,403,false,false,17468,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/press-releases/2026/02/new-large-support-package-to-ukraine-focused-on-air-defence/,https://government.se/press-releases/2026/02/new-large-support-package-to-ukraine-focused-on-air-defence/,403,false,false,17588,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/press-releases/2026/02/sek-230-million-in-humanitarian-support-to-ukraine/,https://government.se/press-releases/2026/02/sek-230-million-in-humanitarian-support-to-ukraine/,403,false,false,17091,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/about-the-website/,https://government.se/about-the-website/,403,false,false,17315,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
66,Sweden's Government,https://government.se/contact-information/,https://government.se/contact-information/,403,false,false,17303,false,0,0,0,0,,Skipped (not requested),true,116,2,0,128,meta-refresh,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,32,2,2,1,QW-ACT-R4;QW-ACT-R71,,0,,Just a moment...
